feature_name,Name,Address,Latitude,Longitude
CU, CU@Alor Setar,"NO. 48 (GF), TAMAN GUNUNG INDAH JALAN KUALA KEDAH, , 05400  ALOR SETAR, KEDAH",6.096797172225901,100.35679224889525
CU, CU@Bukit Baru ," PUSAT NIAGA NO,5-2, JALAN PNBBU 1, JALAN UTAMA, , 75150 BUKIT BARU , MELAKA",2.2165749307179476,102.27048392286524
CU, CU@Kuala Ketil,"108 & 109, PERSIARAN KKCC 2, COMMERCIAL CENTRE,, 09300 KUALA KETIL,  KEDAH",5.6051911453632055,100.64059232894348
CU, CU@Riverfront Sungai Petani,"No.101, Tingkat, 1, Jalan Mawar 2, Taman Pekan Baru,,  08000 SUNGAI PETANI, KEDAH",5.640101740221939, 100.48100229403929
CU, CU@Setia Alam,"10-G-58, JLN SETIA GEMILANG BM U13/BM, 40170 SETIA ALAM, SELANGOR",3.127528241500311,101.46854321857083
CU, CU@Solaria Square,"G-7, Solaria Square, Jalan Tun Dr Awang, , 11900 Bayan Lepas, Penang",5.300151153309237,100.26621723952547
CU, CU@Sri Damansara,"No 16, Jalan Tanjung SD 13/1,, 52200 BANDAR SRI DAMANSARA, KUALA LUMPUR",3.1883843254715436,101.60544583013595
CU, CU@Subang Skypark,"M17, Sultan Abdul Aziz Shah Airport, Terminal, Lapangan Terbang Sultan Abdul Aziz Shah,, 47200 SUBANG, SELANGOR",3.133490761825774,101.55378750285068
CU,CU@1 Utama,"LOT F202 & F203 1ST FLOOR, 1 UTAMA SHOPPING CENTRE BANDAR UTAMA, 47800 petaling jaya, selangor",3.149061760451449,101.61614724965175
CU,CU@Alor Gajah,"KM 8-1, Jalan Perniagaan Jelatang 1, Pusat Perniagaan Jelatang, 78000  ALOR GAJAH, MELAKA",2.3847046273035777,102.21644068317967
CU,CU@Amerin Mall,"LOT G-7 & G-8, THE AMERIN MALL JALAN IMPIAN INDAH , 43300 Seri Kembangan, Selangor",3.0250011461785795,101.75113124000033
CU,CU@Arkadia Desa Parkcity,"Unit F-G-10, Plaza Arkadia, No. 3, Jalan Intisari Perdana, Desa Parkcity, 52200 Kuala Lumpur, Kuala Lumpur",3.1864229723830615,101.63613751692182
CU,CU@Avenue K,"C03B & C-3C, LEVEL CONCOURSE AVENUE K, 156 JALAN AMPANG AVENUE K SHOPPING MALL, 50450 Kuala Lumpur, Kuala Lumpur",3.15948952633391,101.71354125492283
CU,CU@Awana Skyway,"LOT NO. 2-4, LEVEL 2 AWANA SKYWAY STATION , 69000 Genting Highlands, pahang",3.4037526475224413,101.78288109294623
CU,CU@Bahau,"No. 10E, Jalan Kiara 1, Pusat Perniagaan Kiara, 72100 Bahau, Negeri Sembilan",2.8100254522205903,102.39573483572435
CU,CU@Bandar 2 Bukit Jalil,"LOT NO. 1.37.00, LEVEL 1 PUSAT BANDAR 2, PERSIARAN JALIL UTAMA , 57000 Bukit Jalil, Kuala Lumpur",3.049827986732248,101.67139676986446
CU,CU@Bandar Baru Kampar,"NO. 2246, JALAN BATU SINAR TAMAN BANDAR BARU , 31900 Kampar, Perak",4.326149188321749, 101.1450267733269
CU,CU@Bandar Baru Uda Johor Bahru,"NO. 8-G & 10-G, JALAN PADI 6/1 BANDAR BARU UDA , 81200 Johor Bahru, Johor ",1.4999239848419095,103.70831827853964
CU,CU@Bandar Damai Perdana,"No. 20, Jalan Damai Perdana 1/9a, Bandar Damai Perdana,, 56100 Kuala Lumpur, Kuala Lumpur",3.045894499926404,101.73928413695234
CU,CU@Bandar Mahkota Cheras,"No.45-G, Jalan Temenggung 11/9, , 43200 BANDAR MAHKOTA CHERAS, SELANGOR ",3.0534490833769694,101.78886212040621
CU,CU@Bandar Menjalara,"65, GROUND FLOOR JALAN 3/62A , 52200 Bandar Menjalara, Kuala Lumpur",3.195120191173609,101.63095893787512
CU,CU@Bandar Perda Bukit Mertajam,"NO. 456, JALAN PERMATANG RAWA BANDAR PERDA , 14000 Bukit Mertajam, Penang",5.365699086800761,100.43618170505435
CU,CU@Bandar Puteri Puchong,"NO. 22A, GROUIND FLOOR, JALAN PUTERI 1/4 DATARAN PUTERI, BANDAR PUTERI, 47000 PUCHONG SELANGOR, 47000 Puchong, Selangor",3.0264200845456255,101.61686399789048
CU,CU@Bandar Tasik Puteri Rawang,"NO. 58-G-A & 58-G-B (GF) JALAN 7A/2, BANDAR TASIK PUTERI , 48000 rawang, Selangor",3.2842382689296525,101.4731406132781
CU,CU@Bandar Utama Batang Kali,"69-1, Jalan Ara 2, Pusat Perdagangan Ara Seksyen 5, Bandar Utama Batang Kali, , 44300 BATANG KALI, SELANGOR",3.4546728109335874,101.66249215589768
CU,CU@Bendahara,"UNIT 16 & UNIT 18 JALAN BENDAHARA 1A TAMAN BENDAHARA, 45000 KUALA SELANGOR, SELANGOR",3.3220383245654297,101.2670590119774
CU,CU@Bintang Ria,"NO 29, JALAN BINTANG RIA 2, TAMAN BINTANG RIA, , 86200 SIMPANG RENGGAM,  JOHOR",1.8301618382129619,103.30794159176567
CU,CU@Bukit Dahlia Johor,"NO. 28, JALAN SERANGKAI 18 TAMAN BUKIT DAHLIA, 81700 Pasir Gudang, Johor",1.4785915874169986,103.89398406826331
CU,CU@Bukit Sentosa Rawang,"NO. 15 (GF), JALAN ORKID 1F/1 BUKIT SENTOSA, 48300 Rawang, selangor",3.4034532389056165,101.55968925098476
CU,CU@Butterworth Business City Centre Butterworth,"NO. 22 (GF) BUTTERWORTH BUSINESS CITY CTR JALAN RAJA UDA,, 12300 Butterworth, Penang",5.41581006804063,100.38059496140725
CU,CU@Centre Point Bandar Utama,"LOT G03 & G03a, GROUND FLOOR CENTRE POINT, NO. 3, LEBUH BANDAR UTAMA BANDAR UTAMA, 47800 PETALING JAYA, SELANGOR, 47800 Petaling Jaya, selangor",3.138409703761769,101.61013271746435
CU,CU@Centrepoint Seremban,"33, Jalan Dato Siamang Gagap, Betaria Business Centre, , 70100 Seremban, Negeri Sembilan",2.7233913152535982,101.95541576519285
CU,CU@Centrium Pahang,"A-G-14, PRESINT 1 CAMERON CENTRIUM, 39100 Brinchang, Pahang",4.495113554908247,101.38921077038742
CU,CU@Chi Lung Klang,"No 96 Ground floor, Lebuh Turi, Taman Chi Lung, , 41200 klang, Selangor",3.026953815598927,101.42862599879373
CU,CU@City Junction Pulau Pinang,"NO. 2-1-3 (LOT C) CITY JUNCTION PERSIARAN LENGKUAS 2 , 10470 Tanjung Tokong, Penang",5.450554541444366,100.3053111757846
CU,CU@Cottage Walk Sepang,"NO. 6, OFF JALAN PERSIARAN APEC COTTAGE WALK, CYBER 6 , 63000 Sepang, selangor",2.9203865,101.658966
CU,CU@Damansara Uptown,"NO 47G, UPTOWN 37, JALAN SS21/37 DAMANSARA UTAMA , 47400 Petaling Jaya, selangor",3.1364270035805943,101.62347703355125
CU,CU@Dataran Cheras 5,"NO. 98-G, JALAN DATARAN CHERAS 5 DATARAN PERNIAGAAN CHERAS, 43200 Palakong, Selangor",3.0359632700282457,101.76428078247127
CU,CU@Dataran Glomac Petaling Jaya,"C-G-06, GROUND FLOOR DATARAN GLOMAC, JALAN SS6/5B , 47310 petaling jaya, selangor",3.1033384384343776,101.60028331253463
CU,CU@Dato Razali Ampang,"No. 28 (GF), JALAN MAMANDA 7, TAMAN DATO AHMAD RAZALI, 50450 Ampang, Selangor",3.158839583027513,101.75004991407671
CU,CU@Datum Mall KL,"G-26, G-26 AL (ALFRESCO, L1-36 (ROOFTOP) DATUM MALL, JALAN ENGGANG TAMAN KERAMAT, 54200 KUALA LUMPUR, KUALA LUMPUR",3.167840458774927,101.73627322520542
CU,CU@DC Mall,"LOT G-05, GROUND FLOOR DAMANSARA CITY MALL, NO. 6 JALAN DAMANLELA, 50490  DAMANSARA, KUALA LUMPUR",2.9746229970141376,101.65560429402936
CU,CU@Desa Petaling,"NO. 43-G & 45-G JALAN 1/125D, DESA PETALING, 57100 KUALA LUMPUR, 57100 Kuala Lumpur, Kuala Lumpur",3.083085254800224,101.70445358757067
CU,CU@Dwangsa Wangsa Maju,"NO. 6 (GF), JALAN WANGSA DELIMA 11 DWANGSA, WANGSA MAJU , 53300 Kuala Lumpur, Kuala Lumpur",3.196999610068563,101.74170677544673
CU,CU@Eco Majestic (Temporarily Closed),"NO. 2-1, JALAN ECO MAJESTIC 10/1B, ECO MAJESTIC,, 43500 SEMENYIH , SELANGOR",2.900241434123447,101.83311015735666
CU,CU@Eko Botani Johor,"Ground Floor of No. 82, JALAN EKO BOTANI 3/2, TAMAN EKO BOTANI, 79100 Queen, New Mexico, Johor",1.4390925602961022,103.62052398979733
CU,CU@Elmina Selatan R&R,"SBC 02, KAWASAN REHAT DAN RAWAT ELMINA SELATAN LEBUHRAYA KORIDOR GUTHRIE , 47000 Sungai Buloh, Selangor",3.1722778170045283,101.51949073594147
CU,CU@Gardens Mall,"LG 238, LOWER GROUND FLOOR THE GARDENS MALL, MID VALLEY CITY LINGKARAN SYED PUTRA,, 59200 MID VALLEY CITY , KUALA LUMPUR",3.1188162152426866,101.67600082612368
CU,CU@Gemas,"NO. G10, Jalan Harmoni Gemas 2, Pusat Perniagaan Harmoni Gemas, , 73400 Gemas, Negeri Sembilan",2.5802661330212935,102.60842037905881
CU,CU@Greentown Ipoh,"31, PERSIARAN GREENTOWN 7 PUSAT PERDAGANGAN GREENTOWN , 30450 Ipoh, Perak",4.599274825810271,101.09619270560313
CU,CU@Ground Floor IOI City,"LOT GE-16, GROUND FLOOR IOI CITY MALL, LEBUH IRC IOI RESORT CITY, 62502 putrajaya, Selangor",2.969389991637112,101.71374264224771
CU,CU@Iconic Point,"NO. 1 (GROUND FLOOR), ICONIC POINT, , 14100 SIMPANG AMPAT, PENANG",5.28340747458676,100.47625816174201
CU,CU@Indahpura Kulai,"G FLOOR, 1ST FLOOR, 2ND FLOOR & 3RD FLOOR NO. 180, JALAN KENANGA 29/4 BANDAR INDAHPURA,, 81000 Kulai, Johor",1.6418613208619943,103.61924975132261
CU,CU@Jade Hills Kajang,"NO. 66-1 (GF) JALAN DATARAN JADE 6 DATARAN JADE, JADE HILLS, 43000 kajang, selangor",2.9926292000428374,101.76096187875565
CU,CU@Jalan Adda Johor Bahru (Temporarily Closed),"NO 93-G, JALAN ADDA 3/1 TAMAN ADDA , 81100 Johor Bahru, Johor",1.547470044556481,103.74674738842522
CU,CU@Jalan Icon City Bukit Mertajam,"7, JALAN ICON CITY, BUKIT TENGAH,, 14000  BUKIT MERTAJAM, PENANG",5.345172677817439,100.43440238599753
CU,CU@Jalan Tapah-Bidor,"ARAS G, NO.1 PT11165, JALAN TAPAH-BIDOR,, 35500 BIDOR, PERAK",4.113360748389315,101.28623238055673
CU,CU@Jaromas Jenjarom,"NO 19, GROUND FLOOR JALAN 2/1, TAMAN SERI JAROMAS , 42600 Jenjarom, Selangor",2.874684186068832,101.5019115033423
CU,CU@Kebun Teh Johor Bahru,"NO. 14, JALAN KEBUH TEH PUSAT PERDAGANGAN KEBUN TEH , 80250 Johor Bahru, Johor",1.4856445698530345,103.75397982435814
CU,CU@KLIA2,"LOT L3-36 & L3-38 LEVEL 3, GATEWAY @ KLIA2, TERMINAL KLIA2 KL INTERNATIONAL AIRPORT, JLN KLIA 2/1,, 64000 SEPANG, SELANGOR",2.742612982705081,101.68663923114927
CU,CU@Komersial Radia Shah Alam,"G-36, KOMERSIAL RADIA PERSIARAN TEBAR LAYAR BUKIT JELUTONG, 40150 Shah Alam, Selangor",3.1021208,101.5364113
CU,CU@Kompleks Parit Buntar,"Lot G-1, NO. 199, Kompleks Perniagaan Parit Buntar, Jalan Taiping,, 34200 PARIT BUNTAR, PERAK",5.127741941529333,100.48954224974214
CU,CU@Kota Emerald,"LOT 1286, RUMAH CONTOH BROOKLYN @ PEJABAT JUALAN SEMENTARA KOTA EMERALD, 48000 RAWANG, SELANGOR ",3.3246579231406423,101.54433701812587
CU,CU@Kota Kemuning (Temporarily Closed),"UNIT NO. 2-29-1 (GROUND FLOOR) NO. 14, PERSIARAN ANGGERIK VANILLA SEKSYEN 31, KOTA KEMUNING, 40460 Shah Alam, Selangor",3.000223,101.532623
CU,CU@Kota Laksamana ,"10, Jln KLJ 4, Taman Kota Laksamana,, 75200 MELAKA, MELAKA",2.1984852841084206,102.2319906805379
CU,CU@Kuala Pilah,"Pilah Gateway, LG 03 & LG 04 ( Ground floor), Jalan Melang, 72000  Kuala Pilah, Negeri Sembilan. ",2.73488745747472,102.23442617059672
CU,CU@Kuala Selangor,"No 16 & 18, Jalan Bendahara 1A, Taman Bendahara,  , 45000 KUALA SELANGOR, SELANGOR",3.3217667870799286,101.26695821716194
CU,CU@Kuchai Maju,"NO. 33, JALAN KUCHAI MAJU 8, KUCHAI ENTREPRENEURS PARK , 58200 Kuala Lumpur, Kuala Lumpur",3.089719619434265,101.687702822852
CU,CU@Larkin Jaya,"PTB NO. 24500, JALAN GERODA 2/1 LARKIN JAYA ,  80350  JOHOR BAHRU, JOHOR",1.4955699133225548,103.74115706122117
CU,CU@Lebuh Medan Ipoh,"NO. 22 (GF) & 24 (GF) LEBUH MEDAN IPOH BANDAR BARU MEDAN, 31400 Ipoh, Perak",4.615073834408548,101.11974723391945
CU,CU@Manjung Point 3,"NO. 7 (GF), JALAN PPMP3/1, PUSAT PERNIAGAAN MANJUNG POINT 3, 32040 Seri Manjung, Perak",4.216708603043577,100.6705397879582
CU,CU@Masai Johor,"23a, Jln Ekoperniagaan 7, Taman Kota Masai,, 81700  Pasir Gudang, JOHOR",1.4848103149925773,103.93750797838433
CU,CU@Medan Klebang Restu Chemor (Temporarily Closed),"NO. 74 & 76 (gf), LALUAN KLEBANG RESTU 2 MEDAN KLEBANG RESTU , 31200 Chemor, Perak",4.681860339649274,101.12157773892844
CU,CU@Medan Pesona (Temporarily Closed),"NO. 4, PERSIARAN PESONA 1 MEDAN PESONA, SUNGAI SIPUT (U) , 31100 KUALA KANGSAR, PERAK",4.772467856304305,100.94028647518175
CU,CU@Medan Pulai Hartamas Ipoh (Temporarily Closed),"NO. 5, JALAN PULAI HARTAMAS 1, MEDAN PULAI HARTAMAS, 31300 Ipoh, Perak",4.5494982891644895,101.11743321930334
CU,CU@Megan Avenue 1 Kuala Lumpur,"E-D-2 & E-1-2, Megan Avenue 1, Block E, Jalan Tun Razak, 50400 Kuala Lumpur, Kuala Lumpur",3.1620187084922917,101.71703249586837
CU,CU@Mesamall Nilai,"Lot No. G-03, Mesahill, Persiaran Ilmu BBN, , 07180 NILAI, NEGERI SEMBILAN",2.8251367177669895,101.77778981970866
CU,CU@Mid Valley,"Unit G-022 and 023, Level G, Mid Valley Megamall, Mid Valley City, Lingkaran Syed Putra, , 59200 MID VALLEY CITY , KUALA LUMPUR",3.117178299925132,101.6781221247239
CU,CU@Mount Austin Johor Bahru,"NO 35 (GROUND FLOOR) JALAN AUSTIN HEIGHTS 3 TAMAN MOUNT AUSTIN, 81100 Johor Bahru, Johor",1.5606667954209428 ,103.7803365260248
CU,CU@Mutiara Mas Skudai,"NO 63-G, JALAN MUTIARA 1/9 TAMAN MUTIARA MAS , 81300 Johor Bahru, Johor",1.5138569385050993,103.63171071860911
CU,CU@Mytown Shopping Centre,"LOT NO. B1-061, B1-062, B1 MYTOWN SHOPPING CENTRE, NO. 6 JALAN COCHRANE, SEKSYEN 90, 55100 Kuala Lumpur, Kuala Lumpur",3.1340750327792186,101.72307889638441
CU,CU@Nexus Bangsar South,"UNIT G-13A, GROUND FLOOR, NEXUS, NO. 7, JALAN KERINCHI, BANGSAR SOUTH, 59200 Kuala Lumpur, Federal Territory of Kuala Lumpur",3.1100698749013618,101.66563430035117
CU,CU@Nilam 4B Bukit Tinggi (Temporarily Closed),"NO. 62-0, LORONG BATU NILAM 4B BANDAR BUKIT TINGGI , 41200 Klang, Selangor",3.007130471072695,101.43645825071185
CU,CU@Nova U5/N Bestari,"NO. 19 JALAN NOVA U5/N SUBANG BESTARI, 40150 Shah Alam, Selangor",3.1782534,101.5478947
CU,CU@Olive Hill Seri Kembangan (Temporarily Closed),"No. 59-G, Jalan BS 1/1, Pusat Perniagaan Olive Hill, Taman Bukit Serdang , Seksyen 1, , 433000 Seri Kembangan, selangor",3.0134591,101.6939959
CU,CU@Pekan Jitra,"Pekan Jitra 2,, 06000 JITRA, Kedah",6.258669247579971,100.41958240996262
CU,CU@Pekan Nenas Johor,"No. 83, Jalan Industri 8, Taman Perindustrian Pekan Nenas, Pekan Nenas, 81500 Pontian District, Johor",1.4953697180174503,103.52620697194357
CU,CU@Perbandaran Kuala Kangsar,"No. 5, Persiaran Perbandaran, , 33800 Kuala Kangsar, Perak",4.7724880625416635,100.94030193767223
CU,CU@Perling Johor Bahru,"NO. 18-G, JALAN PERSIARAN PERLING 1 TAMAN PERLING , 81300 Johor Bahru, Johor ",1.4821270120377739,103.68487813767493
CU,CU@Permas 10 Masai,"NO. 1, JALAN PERMAS 10 BANDAR BARU PERMAS JAYA , 81750 Masai, Johor",1.4965263170843552,103.8151917307091
CU,CU@PIKOM Segamat,"No. 41, Jalan Genuang KG, Pusat Komersial Abdullah, 85000 Segamat, JOHOR",2.4997618311324925,102.82708213642236
CU,CU@PKOM Suria Johor Bahru,"NO. 17, JALAN SURIA 2, Taman Nusa Perintis, 81550 Gelang Patah, Johor",1.4556315375019349,103.59899432869604
CU,CU@Plaza Gurney Pulau Pinang,"170-B1-39 PLAZA GURNEY, PERSIARAN GURNEY , 10250 Penang, Penang",5.437150493864657,100.30928475275384
CU,CU@Plaza Usahawan Kuala Lumpur,"NO. 8 (GF), PLAZA USAHAWAN GENTING KLANG JALAN DANAU NIAGA, TAMAN DANAU KOTA , 53300 Kuala Lumpur, Kuala Lumpur",3.2025866129581275,101.71717850412098
CU,CU@Prima Batu Caves,"29-G, Jalan Prima SG 1 Prima Sri Gombak  , 68100 Batu Caves, selangor",3.2395823490117084,101.69987252278241
CU,CU@Promenade," NO. 5-G-12, THE PROMENADE PERSIARAN MAHSURI, BANDAR BAYAN BARU, , 11950  BAYAN LEPAS, PULAU PINANG",5.3242699692081485,100.28196318748643
CU,CU@Puncak Sentul Kuala Lumpur,"AG-G-19 (GF) PUNCAK SENTUL, NO. 8 JALAN SENTUL PERDANA, 51000 Kuala Lumpur, Kuala Lumpur",3.202211751762018,101.68947846745984
CU,CU@Queens Residences Pulau Pinang,"SU-G-25, QUEENS RESIDENCES Q1 JALAN BAYAN INDAH , 11900 Bayan Lepas, Penang",5.33216082071719,100.3092993377062
CU,CU@Radin Bagus,"NO. 121 JALAN RADIN BAGUS SRI PETALING, 57000 Kuala Lumpur, Kuala Lumpur",3.0711228962464263,101.69322864110669
CU,CU@Rasah Prima ,"NO. 2G & 3G, JALAN RASAH PRIMA 1 PUSAT KOMERSIAL RASAH PRIMA , 70300 seremban, Negeri Sembilan",2.688856863231449,101.93324554640557
CU,CU@Rohas Kuala Lumpur,"E-G-1, GROUND FLOOR EAST WING ROHAS PURECIRCLE NO. 9, JALAN P. RAMLEE, 50250 KUALA LUMPUR, 50250 Kuala Lumpur, Kuala Lumpur",3.155356478223892,101.70905101297548
CU,CU@Seksyen 13 Shah Alam,"G10, MENARA U, NO 2 JALAN BOLING PADANG 13/62 SEKSYEN 13, 40100 Shah Alam, Selangor",3.075830,101.551878
CU,CU@Selayang,"No. 67, Jalan 2/16, Bandar Baru Selayang, Selayang, 68100 Batu Caves, Kuala Lumpur",3.2567165738773336 ,101.65627621253495
CU,CU@Semenyih,"GROUND FLOOR OF No 35 & No 37, JALAN VISTA VALLEY 3, SEMENYIH VISTA VALLEY, , 43500  SEMENYIH, SELANGOR",2.9578146942043038,101.83962333981358
CU,CU@Setia City Mall,"LG-131, LOWER GROUND FLOOR SETIA CITY MALL, 7, PERSIARAN SETIA DAGANG SETIA ALAM, 40170 SHAH ALAM, SELANGOR",3.1102786304457983,101.45807602004894
CU,CU@Setia Indah Johor Bahru,"NO. 22, JALAN SETIA 3/2, TAMAN SETIA INDAH, 81100 Johor Bahru, Johor",1.572793938142495,103.75672078214883
CU,CU@Sierra Fresco,"LOT 2-3, SIERRA ALFRESCO, JALAN SIERRA 10/1, BANDAR 16 SIERRA , 47110 PUCHONG, SELANGOR",2.974732152552839, 101.65561368737433
CU,CU@Sky Avenue,"LOT NO. T2C-B02 LEVEL T2C, SKY AVENUE , 69000 GENTING HIGHLANDS, PAHANG",3.426806929593561,101.79669455139499
CU,CU@Sky Avenue Genting Highlands,"LOT NO. T2C-B02 LEVEL T2C, SKY AVENUE , 69000 Genting Highlands, Pahang",3.4250583631491214,101.79639853682716
CU,CU@Solaris,"NO. 20-G, JALAN SOLARIS 4 SOLARIS MONT KIARA,, 50480 Kuala Lumpur, Kuala Lumpur",3.1757186555009924,101.65971200854486
CU,CU@Southkey," F-028, THE MALL MID VALLEY SOUTHKEY NO. 1, PERSIARAN SOUTHKEY 1,  80150  JOHOR BAHRU, JOHOR",1.5013743230033005,103.77749727818089
CU,CU@Sri Dermawan Ipoh (Temporarily Closed),"82, 84 & 86 (GF) Jalan Bercham, Taman Sri Dermawan,, 31400 Ipoh, Perak",4.625785405982149,101.12180872506619
CU,CU@SS15/4 Subang,"NO. 76 (GROUND) JALAN SS15/4 , 47500 Subang Jaya, selangor",3.0757996443139084,101.5891593210314
CU,CU@Subang Perdana,"Ground Floor, Lot No. 27-G, Jalan Dinar G U3/G, Taman Subang Perdana,, 40150 SHAH ALAM, SELANGOR",3.1489606354280126,101.54424854210863
CU,CU@Sultan Iskandar Ipoh,"183, Jalan Sultan Iskandar, 30000 ipoh, Perak",4.592468382554745,101.0862649373286
CU,CU@Sungai Long Cheras,"No 37, JALAN SL 1/3, BANDAR SUNGAI LONG, 43000 kajang, Selangor",3.0396398663431214,101.79309068249414
CU,CU@Sunway Giza,"UNIT B-9-GF, SUNWAY GIZA MALL NO 2, JALAN PJU 5/14 DATARAN SUNWAY, KOTA DAMANSARA, 47800 Petaling Jaya, selangor",3.1508995072164896,101.59168819546247
CU,CU@Sutera Utama Skudai,"NO. 127 (G FLOOR), JALAN SUTERA TANJUNG 8/2 TAMAN SUTERA UTAMA , 81200 Skudai, Johor",1.5151432849418613,103.66978836002909
CU,CU@Taman Desa Tebrau (Temporarily Closed),"NO. 49-G, JALAN HARMONIUM 23/14 TAMAN DESA TEBRAU , 81100 Johor Bahru, Johor",1.554441446408033,103.79548846650422
CU,CU@Taman Gaya Skudai (Temporarily Closed),"NO. 70-G, JALAN GAYA 1 TAMAN GAYA , 81800 Ulu Tiram, Johor",1.5638256701905056,103.80096585301109
CU,CU@Taman Pauh Jaya Pulau Pinang,"NO. B1-G-16, ELEVATE 1 LORONG PAUH JAYA 1/3 TAMAN PAUH JAYA , 13500 Permatang Pauh, Penang",5.370111178946342,100.41557409045747
CU,CU@Taman Saujana Kajang,"NO 37, JALAN MOHD TAHIR 14/KS02, TAMAN SAUJANA, 41200 klang, Selangor",3.0141963077709457,101.45799350925083
CU,CU@Taman Sri Serdang ,"NO 44G (3327), CORNER GROUND FLOOR, JALAN 18/34, TAMAN SRI SERDANG, 43300 SERI KEMBANGAN, SELANGOR ",3.00855393726399,101.71419730769725
CU,CU@Taman Tasik Commercial Centre Taiping,"NO 2A & 6, OFF JALAN PEKELILING TAMAN TASIK COMMERCIAL CENTRE (TTCC), 34000 Taiping, Perak",4.852840650496826,100.74574765020363
CU,CU@Tampin,"Ground floor of three (3) storey shoplot (corner lot) bearing postal address of PS 28, Jalan Bandar Satelit Sebang 1, Bandar Satelit Sebang, Seksyen 1, , 78000  ALOR GAJAH, MELAKA",2.463726576652006,102.23594891432623
CU,CU@Tanah Rata,"11-1, Marigold Square, Tanah Rata, , 39000 CAMERON HIGHLANDS, PAHANG",4.472986004280622,101.38035561057005
CU,CU@Teluk Intan,"53 (GF), JALAN INTAN 4, BANDAR BARU TELUK INTAN, , 36000 TELUK INTAN , PERAK",4.0198408860711945,101.02305785604224
CU,CU@Ten Kinrara,"GF-07, TEN KINRARA RESIDENCE JALAN BK 5A/3 BANDAR KINRARA, 47180 puchong, Selangor",3.048068094900457,101.6463553412628
CU,CU@Terminal 5 Senai,"33-G, JALAN TERMINAL 5, 81400 Senai, Johor",1.6060794648221066,103.64786146086189
CU,CU@Thomson Hospital,"GF, UNIT 1109-5 THOMSON HOSPITAL, 11 JALAN TEKNOLOGI PJU 5, KOTA DAMANSARA, 47810 petaling jaya, selangor",3.1490627437497496,101.57877881515235
CU,CU@Tropicana Aman Selangor,"NO. 9-G & 9-1, JALAN AMAN SINARIA 2 BANDAR TROPICANA AMAN  , 42500 Teluk Panglima Garang, Selangor",2.944712008898226,101.52739591385881
CU,CU@Tun Abdul Aziz Kajang (Temporarily Closed),"NO. 14 (GF) JALAN TUN ABDUL AZIZ BANDAR KAJANG, 47000 Kajang, Selangor",2.9916688452005475,101.79034787338496
CU,CU@Tun Mohd Fuad TTDI,"11, JALAN TUN MOHD FUAD TAMAN TUN DR ISMAIL , 60000 Kuala Lumpur, Kuala Lumpur",3.141664944730027,101.6284486437522
CU,CU@UUM Sintok,"Sintok, Bangunan, Varsity Mall,, 06010  Universiti Utara Malaysia, Kedah",6.462850029845793,100.50166904937223
